,Linear Regression,Ridge Regression,Lasso Regression,KNN,RandomForest Regressor,Bagging Regressor,XGBoost Regressor
MSLE,0.003888772425605588,0.0038922674326635045,0.0038876434718510874,0.010312195235159891,0.0004975497322346118,0.0005158464348043526,0.00027636694896472045
Root MSLE,0.06236002265558912,0.06238803917950543,0.06235097009550924,0.10154897948852018,0.022305822832494028,0.022712252966281276,0.016624287923538875
R2 Score,0.668605848090448,0.6680566348602046,0.6687071946648345,0.8820370526132383,0.994877178088401,0.9938261944009862,0.9881650453833521
Accuracy(%),66.8606,66.8057,66.8707,88.2037,99.4877,99.3826,98.8165
